Question;Réponse
Qu'est ce que le conseil municipal des enfants ?;Créé en 1999,le Conseil municipal des enfants(CME) donne la possibilité aux jeunes Vincennois (élèves de CM2 et 6e ) de s’exprimer sur la vie de leur ville. Il permet également un apprentissage actif de la démocratie, et à la municipalité d’écouter les propositions des enfants et de les consulter. Renseignements supplémentaires au 01 43 98 68 79 ou par mail àespacecitoyen@vincennes.fr.
Comment faire partie du conseil municipal des enfants ?;Pour faire partie du CME, il faut être scolarisé(e) en CM2 ou en 6e à Vincennes et remplir une fiche de déclaration de candidature. Le jeune conseiller doit également faire campagne dans son école ou son collège, en définissant son programme et ses projets.Tous les renseignements se trouvent sur cette page.
Qu'est que le Conseil des jeunes de Vincennes ?;LeConseil des jeunes de Vincennes(CJV) offre la possibilité aux jeunes de construire des projets et d’être sollicités par les élus afin d’émettre un avis consultatif sur les domaines les concernant. Il favorise une sensibilisation des jeunes aux questions de société afin qu’ils s’engagent de manière constructive dans la vie de la cité. Il leur permet de réaliser des projets en lien avec les dispositifs municipaux, départementaux et régionaux existants.
Comment faire partie du Conseil des jeunes de Vincennes ?;Chaque année, une campagne de recrutement a lieu, habituellement au cours de l'été, pour rejoindre le nouveau Conseil des jeunes pour l'année scolaire qui s'ouvre :une journée d'intégration prévue à cet effet est fixée courant septembre. Mais vous pouvez bien sûr demander des renseignements au Carré au 01 71 33 64 40 ou par mail àlecarre@vincennes.frtout au long de l'année.
Où se tient le bureau du conseil des jeunes de Vincennes ?;Le Bureau du Conseil des jeunes de Vincennes se tient au Carré - Pôle citoyen, 1, rue de l’Égalité. Renseignements au 01 71 33 64 40 ou par mail àconseil-jeunes@vincennes.froulecarre@vincennes.fr.
Quels sont les établissements scolaires sur la ville de vincennes ?;Vous trouverez icila page concernant les collèges et lycées, et là,la page concernant les écoles primaires de Vincennes.
Quand et comment dois je inscrire mes enfants au collège ?;"L’admission dans un collège vincennois est réservée aux élèves dont le représentant légal est domicilié à Vincennes. Sauf cas particulier (déménagement...), l’affectation dans le collège de secteur est automatique, selon la zone d’habitation de l’élève et le cursus choisi (lien pour la séctorisation). Attention, l’affectation n’entraîne pas obligatoirement l’inscription effective, qui doit être confirmée par la famille auprès du collège.
Dès le mois de mars (avant la décision de passage en 6e), le directeur de l’école élémentaire remet aux familles un dossier d’inscription au collège. Après avoir rempli ce dossier, vous devrez retourner à l’école dans les délais indiqués. Une fois la décision de passage prise, un avis d’affectation vous est adressé. Dès réception vous devrez confirmer l'inscription."
Quand et comment dois je inscrire mes enfants au lycée ?;L’affectation dans le lycée de secteur est automatique, selon la zone d’habitation de l’élève et le cursus choisi. Une dérogation peut néanmoins être demandée par l’élève au moment de sa demande d’orientation.
Les Aides à projets jeunes, qu'est-ce que c'est ?;Les Aides à projets jeunes sont des aides financières accordées par la Ville à des projets portés par des jeunes (seuls ou en groupe) domiciliés à Vincennes et âgés de 17 à 25 ans. Après examen de la Commission municipale Petite Enfance - Enfance Jeunesse en mai et en novembre, les projets sont présentés au Conseil municipal pour l’attribution d’une aide financière permettant de mener à terme les actions proposées.
Où déposer une demande d'Aides à projets jeunes ?;La présentation du projet peut être déposée au Carré (1, rue de l'Égalité, 94300 Vincennes), tout au long de l'année.
Je n’arrive plus à me connecter à mon espace personnel sur l’Espace Famille ? Comment faire ?;Vous avez la possibilité de faire mot de passe oublié. Un mail vous sera envoyé sur votre adresse mail. Si vous ne parvenez toujours pas à vous connecter vous pouvez sur le site de la villesuivre ce lien.
J’ai une question à propos de ma facture sur l’Espace Famille ?;Vous pouvez poser votre questionvia ce formulaire.
Comment puis je régler ma facture ?;Vous pouvez régler votre facture par prélèvement automatique, en ligne surl'Espace Familleou directement à l'accueil unique de l'Hôtel de ville. Vous trouverez tous les renseignements sur la facturation des activités périscolaires dansle règlement des accueils de loisirs.
Où dois-je faire calculer mon QF?;Vous pouvez faire calculer votre Quotient familial en vous rendant à l'accueil unique de l'Hôtel de ville ou en ligne via la rubriqueVos démarches.
Quand dois-je mettre à jour mon QF?;Le Quotient familial doit être calculé avant le 31 décembre de l'année en cours, sinon le tarif maximum sera appliqué.
 Les droits de l’homme, qu’est-ce que c’est ?;Les droits de l’homme sont des droits moraux que tout individu dans le monde possède simplement parce qu’il est un être humain. En revendiquant nos droits de l’homme, nous formulons une revendication morale, normalement de notre propre initiative, pour signifier “vous ne pouvez pas faire cela, c’est une violation de ma sphère morale et de ma dignité personnelle”. Personne - aucun individu, ni aucun gouvernement - ne peut vous priver de vos droits.
D’où viennent ces droits ?;Ils viennent du fait que nous ne sommes pas seulement des êtres physiques, mais aussi moraux et spirituels. Les droits de l’homme ont pour objectif de protéger et de préserver l’humanité de tout individu, d’assurer que chaque individu vit une vie de dignité, digne d’un être humain.
Pourquoi tout le monde “devrait-il” les respecter ?;Parce que, fondamentalement, tous les hommes sont des êtres humains et par conséquent des êtres moraux. La majorité des individus, s’ils constatent que la dignité d’une autre personne est violée, tenteront de s’y opposer. Généralement, les individus ne veulent pas blesser les autres. Cependant, en plus des sanctions morales dictées par notre propre conscience ou celle des autres, il existe aujourd’hui une législation qui, dans la plupart des pays du monde, oblige les gouvernements à respecter les droits fondamentaux de leurs citoyens, qu’ils le veuillent ou non.
"&nbsp;Qui possède des droits de l’homme ?";Absolument tout le monde. Les criminels, les chefs d’Etat, les enfants, les hommes, les femmes, les Africains, les Américains, les Européens, les réfugiés, les apatrides, les chômeurs, les travailleurs, les banquiers, les personnes accusées de terrorisme, les bénévoles, les enseignants, les danseurs, les astronautes, etc.
Même les criminels et les chefs d’Etat ?;"Absolument tout le monde. Les criminels et les chefs d’Etat de la même façon. Le pouvoir des droits réside dans le fait que nous sommes tous égaux devant ces droits. Certains peuvent avoir violé les droits d’autrui ou être une menace pour la société; leurs droits seront alors restreints de manière à protéger les autres, mais dans certaines limites. Ces limites sont définies sur la base de l’appréciation du minimum nécessaire à une vie de dignité."
Pourquoi certains groupes ont-ils besoin de droits de l’homme spécifiques ?;Cela signifie-t-il qu’ils ont plus de droits que les autres? Non, certains groupes, comme les Roms en Europe ou les dalits et les castes en Inde, sont victimes de discrimination depuis si longtemps dans nos sociétés que des mesures spécifiques sont nécessaires pour leur permettre enfin de bénéficier des normes de droits de l’homme sur un pied d’égalité. Face à des années de discrimination et de stéréotypes systématiques, de haine manifeste et d’obstacles de tous ordres, il serait naïf de penser qu’affirmer qu’ils ont des droits égaux pourrait suffire à leur assurer l’égalité.
Pourquoi parlons-nous des droits de l’homme et non des responsabilités des hommes ?;Si quelques penseurs et ONG ont fait valoir de solides arguments en faveur de l’idée de responsabilités de l’homme et même de codes ou de déclarations pour les expliciter, la communauté des droits de l’homme y a toujours été réticente. La raison en est que de nombreux gouvernements conditionnent « l’octroi » des droits de l’homme à certaines obligations imposées par l’Etat ou le dirigeant – ce qui prive de sens l’idée même de droits acquis à sa naissance par chaque être humain. Toutefois, il va sans dire que nous devons agir de façon responsable en tant qu’individus et groupes pour respecter les droits d’autrui, ne pas porter atteinte aux droits de l’homme et promouvoir les droits des autres comme les nôtres. De fait, l’article 29 de la DUDH établit que : « 1. L’individu a des devoirs envers la communauté dans laquelle seule le libre et plein développement de sa personnalité est possible. 2. Dans l’exercice de ses droits et dans la jouissance de ses libertés, chacun n’est soumis qu’aux limitations établies par la loi exclusivement en vue d’assurer la reconnaissance et le respect des droits et libertés d’autrui et afin de satisfaire aux justes exigences de la morale, de l’ordre public et du bien-être général dans une société démocratique. »
Qui protège les droits de l’homme ?;Nous devrions tous le faire. Il existe, aux niveaux national et international, une législation qui impose des restrictions aux actions des gouvernements à l’égard de leurs citoyens. Mais, si personne ne désigne du doigt les actes de violation commis contre les normes internationales, les gouvernements peuvent continuer d’agir en toute impunité. En tant qu’individu, nous devons non seulement respecter les droits des autres dans notre vie quotidienne, mais aussi surveiller les agissements de nos gouvernements et concitoyens. Les systèmes de protection existent pour être utilisés par nous tous.
Comment puis-je défendre mes droits ?;"Essayez de dénoncer les violations commises à l’encontre de vos droits; revendiquez vos droits. Faites savoir aux autres que vous savez qu’ils n’ont pas le droit de vous traiter de la sorte. Repérez les articles pertinents dans la DUDH ou la CEDH, ou d’autres documents internationaux. S’il existe une législation dans votre pays, signalez-le. Parlez-en aux autres, à la presse; écrivez à vos élus et au chef d’Etat, informez les ONG engagées dans le combat en faveur des droits de l’homme. Demandez-leur conseil. Parlez à un juriste si vous le pouvez. Assurez-vous que votre gouvernement est au courant de l’action que vous entreprenez. Faites-lui savoir que vous n’êtes pas prêt de renoncer. Montrez-lui le soutien dont vous pouvez bénéficier. En dernier recours, si aucune de ces stratégies n’a fonctionné, vous pouvez vous adresser à la justice."
Comment m’adresser à la Cour européenne des droits de l’homme ?;La Convention de sauvegarde des droits de l’homme et des libertés fondamentales contient une procédure de requête individuelle. Ceci dit, les conditions de recevabilité sont contraignantes. Par exemple, vous devez vous assurer que votre requête a déjà été examinée par les instances nationales de votre pays (jusqu’à la Cour suprême!) avant de pouvoir saisir la Cour européenne des droits de l’homme. Si vous êtes prêt à vous lancer, et si vous estimez satisfaire aux conditions de recevabilité, alors vous pouvez déposer une requête en utilisant le formulaire officiel (disponible au Secrétariat). Néanmoins, pour vous assurer une relative chance de succès, il vous est fortement conseillé de prendre conseil auprès d’un juriste ou d’une ONG compétente. Sachez que le processus peut être long et compliqué avant que ne soit rendu un jugement !
Auprès de qui puis-je revendiquer mes droits ?;Pratiquement tous les droits prévus par les documents internationaux sont des revendications vis-à-vis de votre gouvernement ou de ses représentants. Les droits de l’homme protègent vos intérêts par rapport à l’Etat, aussi devez-vous les revendiquer auprès de l’Etat ou de ses représentants. Si vous estimez qu’il y a eu violation d’un de vos droits par, disons, votre employeur ou votre voisin, vous ne pouvez recourir directement à la législation internationale en matière de droits de l’homme, à moins que votre gouvernement n’ait pas fait le nécessaire pour empêcher votre employeur ou votre voisin d’agir ainsi.
Quelqu’un a-t-il le devoir de protéger mes droits ?;Oui. Un droit ne signifie rien s’il n’a pas pour contrepartie la responsabilité ou l’obligation de quelqu’un. Tout individu a le devoir moral de ne pas violer votre dignité personnelle, mais votre gouvernement, en signant des pactes internationaux, a lui une obligation non seulement morale mais aussi juridique.
Les droits de l’homme ne posent-ils problème que dans les pays non démocratiques ?;Aucun pays dans le monde, aujourd’hui encore, n’a des antécédents parfaitement irréprochables en matière de droits de l’homme. Dans certains pays, les violations sont plus fréquentes ou concernent une fraction plus large de la population. Quoi qu’il en soit, toute violation est un problème qui n’aurait pas dû se produire et qu’il faut régler. Un individu dont les droits sont violés dans l’une des démocraties les plus “établies” ne sera pas réconforté de savoir que son cas fait partie des exceptions !
Avons-nous diminué les cas de violation des droits de l’homme ?;Nous avons fait de gros progrès - même s’ils nous paraissent n’être que des gouttes dans l’océan. Pensez à l’abolition de l’esclavage, au vote des femmes, aux pays qui ont aboli la peine de mort, à la libération des prisonniers d’opinion sous la pression internationale, à la chute du régime d’apartheid en Afrique du Sud, aux affaires jugées par la Cour européenne des droits de l’homme et aux législations qu’il a fallu modifier en conséquence. Pensez que le changement graduel de la culture internationale contraint même les régimes les plus autoritaires à tenir compte des droits de l’homme s’ils veulent ne pas être exclus de la scène internationale. Les résultats positifs sont nombreux, notamment ces cinquante dernières années. Mais beaucoup reste à faire.
"Comment les araignées fabriquent-elles leur fil&nbsp;?";Les araignées fabriquent un fil collant, très solide et un peu élastique dans leur ventre, l’abdomen, pour construire leur toile
"D&rsquo;où vient le miel ?";Ce sont les abeilles qui fabriquent le miel
Pourquoi les fleurs sentent-elles si bon ?;Les fleurs sentent bon pour attirer les insectes et notamment les abeilles
Les abeilles piquent-elles ?;Oui, les abeilles piquent et en meurent même 
"Comment les pirates annonçaient-ils le début d&rsquo;une attaque ?";Pour annoncer une attaque, les pirates hissaient le drapeau noir
Les pompiers sont-ils médecins ?;Non, mais lorsqu’ils apprennent leur métier, ils sont formés aux gestes de premiers secours, comme arrêter un saignement, aider quelqu’un à respirer ou immobiliser une personne blessée
Pourquoi les camions de pompier sont rouges avec une sirène ?;Les camions de pompier sont rouges de façon à bien se distinguer
Est-ce que les acrobates de cirque tombent souvent ?;Non, les acrobates de cirque ne tombent pas souvent
Combien a-t-on de dents ?;Lorsque l’on est petit on n’a que 20 dents
Sur quel continent seraient apparus les premiers hommes ?;Les premiers hommes seraient apparus en Afrique
Où vivent les gorilles ?;Les gorilles vivent dans les forêts humides d’Afrique
Existe-il toujours des pirates ?;Eh oui 
Sur quel continent sont apparus les premiers hommes ?;C’est en Afrique que l’on a retrouvé les ossements humains les plus anciens
"Comment s&rsquo;appelle le fleuve qui traverse l&rsquo;Égypte ?";Ce fleuve s’appelle le Nil
Le plus vieil arbre du monde a-t-il plus de 4 000 ans ?;Eh oui 
Que mange la baleine ?;La baleine est le mammifère marin le plus grand au monde
Pourquoi ne peut-on pas manger que des bonbons ?;On ne peut pas manger que des bonbons ou des choses que l’on aime car le corps a besoin d’aliments variés pour être en pleine forme
Dans quel pays utilise-t-on des baguettes pour manger ?;En Chine et dans beaucoup de pays asiatiques
Quelle est la partie de la bouche qui permet de donner le goût des aliments ?;C’est la langue 
Qui transporte les repas de ses petits dans un « sac » ?;C’est le pélican qui possède une poche de peau sous son bec
"Qu&rsquo;est-ce que monter en amazone, dans un cirque ?";Autrefois, les femmes montaient en amazone
Pourquoi la forêt amazonienne est-elle en danger ?;La forêt amazonienne est en danger car elle subit une déforestation massive, c’est-à-dire que l’on coupe beaucoup d’arbres pour laisser de la place aux cultures
"Pourquoi les Indiens d&rsquo;Amérique s&rsquo;appellent-ils comme cela ?";Les Indiens d’Amérique sont en fait les premiers habitants du continent américain
Qui étaient les Sioux ?;Les Sioux étaient l’une des tribus indiennes qui habitaient le continent américain
Pourquoi les cow-boys portaient-ils des éperons sur leurs bottes ?;Les éperons des cow-boys leur permettaient de piquer les flancs de leur cheval et ainsi de le faire aller plus vite...
"Comment s&rsquo;appelait le chef de la police dans l&rsquo;Ouest américain ?";Le chef de la police était le sherif
Les indiens existent-ils encore ?;Oui, il existe encore des indiens, mais ils vivent dans de grandes réserves souvent éloignées de leurs terres d’origine
Les hommes et les dauphins sont-ils amis ?;On raconte que certains dauphins ont sauvé des humains de la noyade ou auraient aidé des pêcheurs à attraper du poisson
Où vit le poisson-clown ?;Le poisson-clown vit dans une anémone de mer
"Qui était Jeanne d&rsquo;Arc ?";Jeanne d’Arc était une jeune fille qui vivait au Moyen Âge
Qui a inventé le football ?;En réalité, le football serait inspiré d’un sport pratiqué en France il y a très longtemps
Combien de litres de lait donne une vache par jour ?;Une vache est traite deux fois par jours, le matin et le soir, tous les jours de l’année
Est-ce que le poney est le petit du cheval ?;Non 
Le cheval dort-il debout ?;Oui 
Comment les poules fabriquent-elles les coquilles de leurs œufs ?;La poule ne fabrique pas elle-même la coquille de ses futurs œufs
Quels sont les oiseaux qui ne peuvent pas voler ?;La quasi totalité des oiseaux volent, même un peu, comme les poules 
Est-ce que le poney est le petit du cheval ?;Non 
Le cheval dort-il debout ?;Oui 
Pourquoi le chien remue-t-il la queue ?;On dit que le chien remue la queue lorsqu’il est content
Comment les chats voient-ils la nuit ?;Les chats voient beaucoup mieux que nous dans l’obscurité
Pourquoi le chat fait-il le gros dos ?;On sait qu’un chat n’est pas content lorsqu’il montre les dents, remue la queue, baisse les oreilles et surtout quand il fait le gros dos et qu’il hérisse ses poils 
"Dans l&rsquo;Égypte ancienne, les momies n&rsquo;existaient-elles que pour les hommes ?";Eh non 
Pourquoi le lion a-t-il une crinière ?;Le lion, roi de la savane africaine, a une grosse crinière autour de la tête, au niveau du cou
"À l&rsquo;époque des dinosaures, est-ce que d&rsquo;autres animaux vivaient sur la Terre ?";Bien sûr 
Pourquoi les zèbres ont-ils des rayures ?;Certains scientifiques ont dit que les zèbres avaient des rayures pour se camoufler dans la savane et d’autres pour lutter contre la chaleur
"Qu&rsquo;est-ce qu&rsquo;un ornithorynque ?";L’ornithorynque est un animal qui vit en Australie et dans aucun autre pays de la planète 
"Pourquoi le paresseux s&rsquo;appelle-t-il ainsi ?";Le paresseux est un animal bien particulier 
Comment font les œufs de manchot pour ne pas geler en Antarctique ?;Grâce au papa manchot 
"Comment les araignées fabriquent-elles leur fil&nbsp;?";Les araignées fabriquent un fil collant, très solide et un peu élastique dans leur ventre, l’abdomen, pour construire leur toile
Une araignée est-elle un insecte ?;Eh non puisqu’une araignée a 8 pattes et non 6, comme tous les insectes
"C&rsquo;est quoi un carton rouge, au foot ?";Un carton rouge au foot est donné par l’arbitre à un joueur qui a fait une faute grave
Le plus vieil arbre du monde a-t-il plus de 4 000 ans ?;Eh oui 
Que doit-on faire pour respecter les arbres ?;Les arbres sont vivants et sont les poumons de la planète 
Que font les arbres à la planète ?;Les arbres « nettoient » l’air
"Quand commence et quand s&rsquo;arrête la préhistoire ?";La préhistoire est une période qui va de la naissance de la Terre jusqu’à l’invention de l’écriture, il y a environ 5 500 ans
"Comment s&rsquo;appelaient les ouvertures étroites dans les murs des châteaux forts ?";Les ouvertures étroites et hautes façonnées dans les murailles des châteaux forts s’appelaient des meurtrières
"Qu&rsquo;est-ce qu&rsquo;un « tomahawk » chez les Indiens d&rsquo;Amérique ?";Le « tomahawk », chez les Indiens d’Amérique est une sorte de massue, comme un marteau, à laquelle était attachée une grosse pierre...
À quoi correspondait « la tortue », chez les Romains ?;La tortue correspondait à l’une des techniques de défense de l’armée romaine
"Comment s&rsquo;appelaient les soldats romains ?";Les soldats romains s’appelaient les légionnaires
"En cas d&rsquo;attaque, comment s&rsquo;appelait la technique de défense des légionnaires romains ?";Cette technique s’appellait la tortue
"Combien pesait l&rsquo;armure du chevalier ?";L’armure complète du chevalier pouvait peser jusqu’à 25 kg 
"Comment s&rsquo;appelle le vêtement fait de pièces de métal que portait le chavalier pour se protéger des coups ?";Le vêtement s’appelle une cotte de maille
"Qui fabriquait l&rsquo;armure des chevaliers ?";L’homme qui fabriquait l’armure des chevaliers était le forgeron
Combien de temps dure un match de football ?;Le match se compose de deux mi-temps, chacune d’une durée de 45 minutes
Que signifie le mot « origami » ?;L’origami, cet art délicat du pliage du papier, est un mot japonais qui signifie plier (« oru ») et papier (« kami »)
"Qu&rsquo;est-ce que le chapiteau d&rsquo;un cirque ?";Le chapiteau d’un cirque est la tente en toile qui accueille le spectacle et les spectateurs
Comment se passe la vie dans un cirque ?;Travailler dans un cirque ambulant c’est vivre en groupe et voyager sur les routes
Existe-il toujours des pirates ?;Eh oui 
Qui était Neil Armstrong ?;Neil Armstrong était un astronaute américain
"Comment dorment les astronautes, dans l&rsquo;espace ?";Dans l’espace, il n’y a pas de gravité terrestre, c’est-à-dire que rien n’est retenu au sol
"Qu&rsquo;y a-t-il sur la Lune ?";Sur la Lune, il n’y a que des pierres et de la poussière
Quelles sont les différentes fonctions des joueurs de foot ?;Comme dans tous les sports, chaque joueur a une fonction particulière
Comment les pirates repéraient-ils les navires à attaquer ?;L’un des pirates, tout en haut du mât, surveillait l’horizon avec une longue vue
À quoi servaient les cartes au trésor ?;Les pirates passaient leur temps sur les océans à piller des navires
"En cas d&rsquo;attaque, comment s&rsquo;appelait la technique de défense des légionnaires romains ?";Cette technique s’appellait la tortue
Pourquoi les pirates avaient-ils souvent une jambe de bois, un œil ou un bras en moins ?;Lors des combats, les attaques étaient violentes et les blessures nombreuses 
"Qu&rsquo;est-ce qu&rsquo;un ornithorynque ?";L’ornithorynque est un mammifère amphibie (qui vit sur Terre et dans l’eau) au corps poilu, avec des pattes palmées munies de griffes, une queue de castor et un bec de canard 
"Qu&rsquo;est-ce qu&rsquo;un ornithorynque ?";L’ornithorynque est un animal qui vit en Australie et dans aucun autre pays de la planète 
Quels sont les oiseaux qui ne peuvent pas voler ?;La quasi totalité des oiseaux volent, même un peu, comme les poules 
Qui pond les plus gros œufs du monde ?;Il s’agit de l’autruche
Que permirent les voyages en avion ?;L’invention de l’avion permit de voyager beaucoup plus vite
Les chevaux se battent-ils ?;Les chevaux se battent rarement ou vraiment quand ils ont peur
Que mange la baleine ?;La baleine est le mammifère marin le plus grand au monde
Combien pèse une baleine ?;Une baleine peut peser jusqu’à 19 tonnes, c’est-à-dire l’équivalent de 30 éléphants 
"Comment s&rsquo;appelle le petit de la baleine ?";Le petit de la beleine s’appelle le baleineau
Où vivent les grandes baleines bleues ?;Les baleines bleues, avec leurs 33 mètres de long, sont les plus gros animaux ayant jamais existé 
"C&rsquo;est quoi, les pointes, en danse classique ?";Les pointes sont des chaussons de satin à bouts plats, qui permettent de danser en se tenant sur la pointe des pieds
Qui sont les danseurs étoiles ?;Les danseurs étoiles sont les meilleurs danseurs de l’Opéra
"Qu&rsquo;appelle-t-on un tutu ?";Le tutu est le costume que porte habituellement les danseuses de ballets classiques
Que signifie le mot « manga » ?;Les mangas sont ces bandes dessinées qui nous viennent du Japon et qui remportent un succès fou dans le monde
Le pirate Barbe-Noire a-t-il vraiment existé ?;Oui 
"Qu&rsquo;est-ce que c&rsquo;est que la basse-cour, dans la ferme ?";C’est là que vivent les animaux tels que les poules, les oies, les canards, les pintades, les dindons… tous les animaux à plumes 
Les Vikings étaient-ils des pirates ?;Oui, mais pas seulement 
Pourquoi les pirates avaient-ils souvent une jambe de bois, un œil ou un bras en moins ?;Lors des combats, les attaques étaient violentes et les blessures nombreuses 
Comment se dirige-t-on sur un voilier ?;Pour se diriger, on utilise une barre
"Qu&rsquo;est-ce qu&rsquo;un pirate ?";Un pirate c’est un ancien marin qui, devenu voleur des mers, attaque les navires pour leur voler leurs marchandises...
Pourquoi les bébés ne marchent-ils pas ?;Le corps des bébés, lorsqu’ils naissent, doit encore se perfectionner 
"Qu&rsquo;appelle-t-on les dents de lait ?";Les dents de lait sont les 20 premières dents qui poussent lorsque l’on est bébé
"Quel animal donne une fessée à son petit lorsqu&rsquo;il n&rsquo;est pas sage ?";C’est la maman éléphant
Quel est le plus grand bébé du monde ?;Il s’agit du girafeau, le bébé de la girafe
Quel père met au monde ses petits ?;Il s’agit de l’hippocampe
Qui transporte les repas de ses petits dans un « sac » ?;C’est le pélican qui possède une poche de peau sous son bec
"Qui s&rsquo;invite dans des coquillages vides ?";Il s’agit du bernard-l’ermite
Les femmes préhistoriques portaient-elles des bijoux ?;Eh oui, les hommes préhistoriques étaient de galants hommes 
À quel âge un jeune Indien pouvait partir chasser avec les hommes de sa tribu ?;À partir de 12 ans, un jeune Indien pouvait partir chasser le bison avec les hommes de sa tribu
Pourquoi les Indiens habitaient-ils dans des tipis ?;Les Indiens étaient un peuple de nomades, c’est-à-dire qu’ils se déplaçaient au rythme des saisons, pour suivre les troupeaux de bisons dont ils se nourrissaient
"Qu&rsquo;appelle-t-on « la conquête de l&rsquo;Ouest » ?";La conquête de l’Ouest correspond à l’arrivée des Européens sur le sol américain
"Est-ce qu&rsquo;un bœuf et un taureau, c&rsquo;est la même chose ?";Le taureau est le mâle qui s’accouple avec la vache pour faire de petits
Comment les hommes préhistoriques allumaient-ils les feux ?;Ils frottaient des pierres les unes avec les autres
Existe-t-il des maisons en paille et en bois ?;Oui 
Pourquoi ne peut-on pas manger que des bonbons ?;On ne peut pas manger que des bonbons ou des choses que l’on aime car le corps a besoin d’aliments variés pour être en pleine forme
Le chameau a-t-il une ou deux bosses ?;Le chameau a deux bosses
"Quelle est la différence lorsqu&rsquo;un cheval se cabre ou qu&rsquo;il rue ?";On dit qu’un cheval se cabre, lorsqu’il se lève sur ses postérieurs (jambes arrière) et agite ses antérieurs (jambes avant)
À quoi correspondait « la tortue », chez les Romains ?;La tortue correspondait à l’une des techniques de défense de l’armée romaine
Quel était le dinosaure le plus grand ?;Le dinosaure le plus grand est sans hésitation le brachiosaure
Les dinosaures étaient-ils tous géants ?;Non 
"Comment les poissons respirent-ils sous l&rsquo;eau ?";Les poissons respirent grâce à leurs branchies, conçues pour filtrer l’eau et ne garder que l’oxygène, contenu dans l’eau de mer
Qui était Pelé ?;Pelé est un footballeur brésilien, considéré comme le plus grand joueur de football de tous les temps
Comment Jules César est-il mort ?;Jules César, ce puissant empereur romain, a été assassiné
Pourquoi le canard a-t-il les pattes palmées ?;Le canard a les pattes palmées car cela lui permet de mieux nager
"Existe-il d&rsquo;autres Paris dans le monde ?";Eh bien oui 
La Tour Eiffel a-t-elle été construite pour durer ?;Non 
Pourquoi les insectes sont-ils petits ?;Les insectes sont petits (bien que certains peuvent atteindre 20 cm, plus grands que certains oiseaux !) à cause de leur carapace qui est en fait, leur squelette extérieur
Le tyrannosaure était-il herbivore ou carnivore ?;Le tyrannosaure était l’un des plus grands dinosaures carnivores
Les dinosaures mangeaient-ils tous de la viande ?;Au contraire 
Pourquoi y a-t-il 52 cartes dans un jeu de cartes ?;Les jeux de 52 cartes sont basés sur le calendrier grégorien
